name,website,email,county,emailed
Democracy Southnorfolkandbroadland,https://democracy.southnorfolkandbroadland.gov.uk/mgParishCouncilDetailsList.aspx,clerk@democracy.southnorfolkandbroadland.gov.uk,Norfolk,yes
Area Southnorfolkandbroadland,https://area.southnorfolkandbroadland.gov.uk/parishclerks/bdc,aclepcclerk@gmail.com,Norfolk,yes
Holmehaleparishcouncil Norfolkparishes,https://holmehaleparishcouncil.norfolkparishes.gov.uk/contact/,bootstrap@5.3.3,Norfolk,no
North Norfolk,https://www.north-norfolk.gov.uk/tasks/democratic-services/directory-of-parish-and-town-council-clerks/,clerk@north-norfolk.gov.uk,Norfolk,yes
Northrunctonpc Norfolkparishes,https://www.northrunctonpc.norfolkparishes.gov.uk/parish-council-clerk/,clerk@northrunctonpc.norfolkparishes.gov.uk,Norfolk,yes
Hindolvestonparishcouncil Norfolkparishes,https://hindolvestonparishcouncil.norfolkparishes.gov.uk/village-newsletter/,bootstrap@5.3.3,Norfolk,no
Claxton Pc,https://claxton-pc.gov.uk/category/organisations/parish-council-news/,clerk@claxton-pc.gov.uk,Norfolk,yes
Woodtonparishcouncil,https://www.woodtonparishcouncil.gov.uk/,clerk@woodtonparishcouncil.gov.uk,Norfolk,yes
Wintertononsea Pc,https://wintertononsea-pc.gov.uk/winterton-on-sea-newsletters/,clerk@wintertononsea-pc.gov.uk,Norfolk,yes
Littleellinghampc Info,https://www.littleellinghampc.info/newsletters,clerk@littleellingham-pc.gov.uk,Norfolk,yes
Brundallpc Norfolkparishes,https://brundallpc.norfolkparishes.gov.uk/brundall-village-newsletter/,bootstrap@5.3.3,Norfolk,no
Walsinghamvillage Org,https://www.walsinghamvillage.org/wp-content/uploads/2025/09/Newsletter-22-issue-Sept-2025.pdf,walsinghampc@googlemail.com,Norfolk,yes
North Woottonpc Norfolkparishes,http://north-woottonpc.norfolkparishes.gov.uk/category/newsletter/,bootstrap@5.3.3,Norfolk,no
Littlesnoringparishcouncil Norfolkparishes,https://littlesnoringparishcouncil.norfolkparishes.gov.uk/newsletters/,bootstrap@5.3.3,Norfolk,no
Kettlestoneparishcouncil Norfolkparishes,https://kettlestoneparishcouncil.norfolkparishes.gov.uk/2025/07/01/village-newsletter-for-july-2025/,bootstrap@5.3.3,Norfolk,no
Democracy Devon,https://democracy.devon.gov.uk/mgParishCouncilDetailsList.aspx,clerk@democracy.devon.gov.uk,Devon,yes
Westdevon,https://www.westdevon.gov.uk/your-council/councillors-and-committees/town-and-parish-councils,clerk@westdevon.gov.uk,Devon,yes
Democracy Northdevon,https://democracy.northdevon.gov.uk/mgParishCouncilDetails.aspx?bcr=1,clerk@democracy.northdevon.gov.uk,Devon,yes
Dalwoodparish Co Uk,https://dalwoodparish.co.uk/parish-council/,dalwoodpc@outlook.com,Devon,yes
Ashfordparishnorthdevon Com,https://www.ashfordparishnorthdevon.com/contact.html,clerk@ashfordpc.org.uk,Devon,yes
Middevonparish Co Uk,https://www.middevonparish.co.uk/poughill/contact-us-1/,clerk@poughillparishcouncil.org.uk,Devon,yes
Brauntonparishcouncil,http://www.brauntonparishcouncil.gov.uk/Braunton-PC/Default-7141.aspx,info@brauntonparishcouncil.gov.uk,Devon,yes
Middevon,https://www.middevon.gov.uk/your-council/town-parish-councils/contact-details/,clerk@middevon.gov.uk,Devon,yes
Malboroughparishcouncil,https://www.malboroughparishcouncil.gov.uk/community/malborough-parish-council-19929/councillors--contacts/,clerk@malboroughparishcouncil.gov.uk,Devon,yes
Lamertonparishcouncil,https://lamertonparishcouncil.gov.uk/wp-content/uploads/2026/03/Agenda-24th-March-2026.pdf,clerk@lamertonparishcouncil.gov.uk,Devon,yes
Aspc,https://www.aspc.org.uk/,clerk@aspc.org.uk,Devon,yes
Memburyparishcouncil,https://memburyparishcouncil.gov.uk/newsletter,clerk@memburyparishcouncil.gov.uk,Devon,yes
Devon,https://www.devon.gov.uk/communities/how-do-i/getting-my-voice-heard/town-or-parish-council/,customer@devon.gov.uk,Devon,yes
Brixtonparishcouncil,http://www.brixtonparishcouncil.gov.uk/_UserFiles/Files/News%20Bulletins%20and%20Newsletter/BPC%20Newsletter%202024%202025.pdf,clerk@brixtonparishcouncil.gov.uk,Devon,yes
Allsaints Pc,https://www.allsaints-pc.gov.uk/category/eddc-newsletter/,clerk@allsaints-pc.gov.uk,Devon,yes
Westleighparish Org,https://www.westleighparish.org/,clerk@westleighparish.org,Devon,yes
Strete,https://strete.org.uk/?post_id=527&title=strete-parish-council-newsletter,clerk@strete.org.uk,Devon,yes
Democracy Somerset,https://democracy.somerset.gov.uk/mgParishCouncilDetailsList.aspx/ieDocHome.aspx?bcr=1,clerk@democracy.somerset.gov.uk,Somerset,yes
Modgov Southsomerset,https://modgov.southsomerset.gov.uk/mgParishCouncilDetails.aspx?LS=17&SLS=1&bcr=1,clerk@modgov.southsomerset.gov.uk,Somerset,yes
Street Pc,https://street-pc.gov.uk/contact-us/,clerk@street-pc.gov.uk,Somerset,yes
N Somerset,https://n-somerset.gov.uk/council-democracy/councillors-committees/town-parish-councils/town-parish-contacts,parishclerk@abbotsleighparish.gov.uk,Somerset,yes
Ash Somerset Pc,https://ash-somerset-pc.gov.uk/parish-council/,clerk@ashpcsomerset.com,Somerset,yes
Democracy Somersetwestandtaunton,https://democracy.somersetwestandtaunton.gov.uk/mgParishCouncilDetails.aspx?bcr=1,clerk@democracy.somersetwestandtaunton.gov.uk,Somerset,yes
Huttonsomerset,https://www.huttonsomerset.org.uk/the-parish-council/members/,clerk@huttonsomerset.org.uk,Somerset,yes
Moderngov Newcastle Staffs,https://moderngov.newcastle-staffs.gov.uk/mgParishCouncilDetailsList.aspx,clerk@moderngov.newcastle-staffs.gov.uk,Somerset,yes
Wells,https://www.wells.gov.uk/userfiles/files/Parish%20Clerks%20List/Parish%20Clerks%20A-Z%20June%202023.pdf,berkleyparishcouncil@gmail.com,Somerset,yes
Ashpcsomerset Com,https://ashpcsomerset.com/ash-parish-council-notice-board/,ashalertemails@ashpcsomerset.com,Somerset,yes
Longsutton Pc,https://www.longsutton-pc.gov.uk/e-newsletters,clerk@longsutton-pc.gov.uk,Somerset,yes
Fivehead Village,https://fivehead-village.org.uk/village-newsletter-feb-26/,clerk@fivehead-village.org.uk,Somerset,yes
Mistertonparishcouncil,https://mistertonparishcouncil.gov.uk/village-information/village-magazine/,clerk@mistertonparishcouncil.gov.uk,Somerset,yes
Hambridgeandwestport Pc,https://hambridgeandwestport-pc.gov.uk/,clerk@hambridgeandwestport-pc.gov.uk,Somerset,yes
Ruishtonparish,https://ruishtonparish.gov.uk/parish-life/village-hall-newsletters,clerk@ruishtonparish.gov.uk,Somerset,yes
Waltonsomerset Pc,https://waltonsomerset-pc.gov.uk/news/village-newsletter,clerk@waltonpc.org,Somerset,yes
Cranmore Somerset Co Uk,https://cranmore-somerset.co.uk/parish-council,clerk@cranmore-somerset.co.uk,Somerset,yes
Boxparishcouncil,https://www.boxparishcouncil.gov.uk/,clerk@boxparishcouncil.gov.uk,Wiltshire,yes
Greatbedwyn Pc,https://www.greatbedwyn-pc.gov.uk/,clerk@greatbedwyn-pc.gov.uk,Wiltshire,yes
Holtparishcouncil,https://holtparishcouncil.gov.uk/contact-us,clerk@holtparishcouncil.gov.uk,Wiltshire,yes
Cms Wiltshire,https://cms.wiltshire.gov.uk/mgParishCouncilDetailsList.aspx?EM=1&RPID=3967637,committee@wiltshire.gov.uk,Wiltshire,yes
Wiltshire Alc,https://www.wiltshire-alc.org.uk/council-contacts/,clerk@wiltshire-alc.org.uk,Wiltshire,yes
Hanningtonparishcouncil,https://hanningtonparishcouncil.gov.uk/contact/,clerk@hanningtonparishcouncil.gov.uk,Wiltshire,yes
Latton Pc,https://www.latton-pc.gov.uk/,clerk@latton-pc.gov.uk,Wiltshire,yes
Edingtonwiltsparishcouncil,https://edingtonwiltsparishcouncil.gov.uk/village-newsletter/,webmaster@edingtonwiltsparishcouncil.gov.uk,Wiltshire,yes
Edingtonwiltshire,https://edingtonwiltshire.org.uk/edington-village-newsletter/,clerk@edingtonwiltshire.org.uk,Wiltshire,yes
Froxfieldparishcouncil,https://froxfieldparishcouncil.gov.uk/notices/visit-wiltshire-newsletter-april-2025/,clerk@froxfieldparishcouncil.gov.uk,Wiltshire,yes
Eastertonpc,https://eastertonpc.org.uk/the-easterton-echoes-newsletter/,judy@judyboyt.com,Wiltshire,yes
Stavertonparishcouncil,https://stavertonparishcouncil.org.uk/news-letters/,simon.staverton.news@gmail.com,Wiltshire,no
Newtontoney Pc,https://newtontoney-pc.gov.uk/,parishclerk@newtontoney-pc.gov.uk,Wiltshire,no
Meetings Cotswold,https://meetings.cotswold.gov.uk/mgParishCouncilDetailsList.aspx,clerk@meetings.cotswold.gov.uk,Gloucestershire,no
Democracy Gloucester,https://democracy.gloucester.gov.uk/mgParishCouncilDetailsList.aspx,clerk@democracy.gloucester.gov.uk,Gloucestershire,no
Stroud Moderngov Co Uk,https://stroud.moderngov.co.uk/mgParishCouncilDetailsList.aspx,clerk@stroud.moderngov.co.uk,Gloucestershire,no
Upperrissington Pc,https://upperrissington-pc.gov.uk/,clerk@upperrissington-pc.gov.uk.,Gloucestershire,no
Horsleyparish,https://horsleyparish.gov.uk/,clerk@horsleyparish.gov.uk,Gloucestershire,no
Sandhurstparishcouncil,https://www.sandhurstparishcouncil.org.uk/contact-us/,sandhurstpc@gmail.com,Gloucestershire,no
Stokeorchardandtredington Pc,http://stokeorchardandtredington-pc.gov.uk/,clerk@stokeorchardandtredington-pc.gov.uk,Gloucestershire,no
Aldertonvillage Co Uk,https://www.aldertonvillage.co.uk/village-newsletter.html,clerk@aldertonparishcouncil.org.uk,Gloucestershire,no
Elkstoneparish,https://elkstoneparish.gov.uk/?page...,cllr.magnuson@elkstoneparish.gov.uk,Gloucestershire,no
Standishvillage Co Uk,https://standishvillage.co.uk/standish-parish-council/,clerk@standishpc.org.uk.,Gloucestershire,no
Alvingtonvillage Org,https://alvingtonvillage.org/,alvingtonclerk@outlook.com,Gloucestershire,no
Facebook Com,https://www.facebook.com/AldertonGlos/posts/february-2025s-alderton-village-newsletter-is-out-now-read-it-or-download-for-la/1018442396982432/,clerk@facebook.com,Gloucestershire,no
Bisley With Lypiatt,https://bisley-with-lypiatt.gov.uk/?classification=village-news,clerk@bisley-with-lypiatt.gov.uk,Gloucestershire,no
Prestbury Pc,https://prestbury-pc.gov.uk/category/newsletter/,clerk@prestbury-pc.gov.uk,Gloucestershire,no
Kembleandewen Pc,https://kembleandewen-pc.gov.uk/newsletter-19/,clerk@kembleandewen-pc.gov.uk,Gloucestershire,no
Dodderhill Pc,https://dodderhill-pc.gov.uk/contact-us,clerk@dodderhill-pc.gov.uk,Worcestershire,no
Broadwayparishcouncil Org,https://www.broadwayparishcouncil.org/contact-parish-clerk,clerk@broadwayparishcouncil.org,Worcestershire,no
E Services Worcestershire,https://e-services.worcestershire.gov.uk/MyParish/Links.aspx?ParishID=1332,clerk@e-services.worcestershire.gov.uk,Worcestershire,no
Committee Worcester,https://committee.worcester.gov.uk/mgParishCouncilDetails.aspx?bcr=1,clerk@committee.worcester.gov.uk,Worcestershire,no
Wickparishcouncil,https://wickparishcouncil.gov.uk/members-of-wick-parish-council/,clerk@wickparishcouncil.gov.uk,Worcestershire,no
Powick Pc,https://powick-pc.org.uk/,clerk@powick-pc.org.uk,Worcestershire,no
Hamptonlovettwestwood Pc,https://hamptonlovettwestwood-pc.gov.uk/contact-us,clerk@hamptonlovettwestwood-pc.gov.uk,Worcestershire,no
Kemertonparishcouncil,https://kemertonparishcouncil.gov.uk/,clerk@kemertonparishcouncil.gov.uk,Worcestershire,no
Fladburyparishcouncil,https://fladburyparishcouncil.gov.uk/,clerk@fladburyparishcouncil.gov.uk,Worcestershire,no
Cookhillparishcouncil,https://cookhillparishcouncil.gov.uk/,clerk@cookhillparishcouncil.gov.uk,Worcestershire,no
Birlingham Org,http://birlingham.org/parishcouncil.htm,clerk@birlingham.org,Worcestershire,no
Tibbertonparishcouncil,https://tibbertonparishcouncil.gov.uk/wp-content/uploads/2024/09/Tibby-Times-Autumn-2024.pdf,y@3p.p,Worcestershire,no
Martley Pc,https://martley-pc.gov.uk/the-villager-magazine-october-issue/,clerk@martley-pc.gov.uk,Worcestershire,no
Lindridgeparishcouncil,https://lindridgeparishcouncil.gov.uk/,lindridge@parishclerk.co.uk,Worcestershire,no
Hillandmoorpc,https://hillandmoorpc.org.uk/wp-content/uploads/2024/05/HM-Newsletter_Spring24-Final.pdf,clerk@hillandmoorpc.org.uk,Worcestershire,no
Shropshire,https://shropshire.gov.uk/committee-services//mgParishCouncilDetailsList.aspx,customer.service@shropshire.gov.uk,Shropshire,no
Whittingtonparishcouncil,https://www.whittingtonparishcouncil.gov.uk/contact/,clerk@whittingtonparishcouncil.gov.uk,Shropshire,no
Cardingtonparishcouncilshropshire Co Uk,http://www.cardingtonparishcouncilshropshire.co.uk/Contact_Us_10175.aspx,clerk@cardingtonparishcouncilshropshire.co.uk,Shropshire,no
Myddleandbroughton Pc,https://www.myddleandbroughton-pc.gov.uk/index.cfm?pageid=21&pagetitle=Council_Members,myddlebroughtonclerk@talktalk.net,Shropshire,no
Coundparishcouncil,https://www.coundparishcouncil.gov.uk/community/cound-parish-council-12531/contact/,clerk@coundparishcouncil.gov.uk,Shropshire,no
Baystonhillparishcouncil,https://baystonhillparishcouncil.gov.uk/news/2026/03,clerk@baystonhillparishcouncil.org.uk,Shropshire,no
Astleyshropshireparishcouncil,https://www.astleyshropshireparishcouncil.gov.uk/community/astley-parish-12547/contact/contact,clerk@astleyshropshireparishcouncil.gov.uk,Shropshire,no
Rodingtonparishcouncil,https://www.rodingtonparishcouncil.gov.uk/community/rodington-parish-council-15363/newsletter/,clerk@rodingtonparishcouncil.gov.uk,Shropshire,no
Baschurchvillagenewsletter Com,https://www.baschurchvillagenewsletter.com/,clerk@baschurchvillagenewsletter.com,Shropshire,no
Berringtonparishcouncil,https://www.berringtonparishcouncil.gov.uk/community/berrington-parish-council-12525/home,clerk@berringtonparishcouncil.gov.uk,Shropshire,no
Fordparishcouncil,https://www.fordparishcouncil.gov.uk/wp-content/uploads/sites/118/2025/12/Ford-Village-Newsletter-winter-2025-6.pdf,clerk@fordparishcouncil.gov.uk,Shropshire,no
Pontesburyparishcouncil,https://www.pontesburyparishcouncil.org.uk/sites/default/files/april_2025.pdf,info@r-j-d.co.uk,Shropshire,no
Condoverpc,https://condoverpc.org.uk/,condoverpc@gmail.com,Shropshire,no
Loppingtonparishcouncil,http://loppingtonparishcouncil.gov.uk/,clerk@loppingtonparishcouncil.gov.uk,Shropshire,no
Withingtongroupparishcouncil,https://withingtongroupparishcouncil.gov.uk/contact/,clerk@withingtongroupparishcouncil.gov.uk,Herefordshire,no
Councillors Herefordshire,https://councillors.herefordshire.gov.uk/mgParishCouncilDetails.aspx,clerk@councillors.herefordshire.gov.uk,Herefordshire,no
Credenhill Pc,https://credenhill-pc.gov.uk/contact-us,clerk@credenhill-pc.gov.uk,Herefordshire,no
Herefordcitycouncil,https://herefordcitycouncil.gov.uk/contact-us/,clerk@herefordcitycouncil.gov.uk,Herefordshire,no
Huntingtonherefordshire,https://www.huntingtonherefordshire.org.uk/huntington-parish-council/contact-us/,michaelyew@hotmail.co.uk,Herefordshire,no
Herefordshire,https://www.herefordshire.gov.uk/parish-councils-1,clerk@herefordshire.gov.uk,Herefordshire,no
Orleton Pc,https://orleton-pc.gov.uk/contact/,clerk@orleton-pc.gov.uk,Herefordshire,no
Hfspgroupparishcouncil,https://hfspgroupparishcouncil.gov.uk/wp-content/uploads/2026/03/Agenda-18-March-2026.pdf,chairman@hfspgroupparishcouncil.gov.uk,Herefordshire,no
Wigmoregroupparishcouncil,https://wigmoregroupparishcouncil.gov.uk/herefordshire-now/,clerk@wigmoregroupparishcouncil.gov.uk,Herefordshire,no
Yarkhillparish Co Uk,http://www.yarkhillparish.co.uk/newsletters/,clerk@yarkhillparish.co.uk,Herefordshire,no
Wellingtonparishcouncil,https://wellingtonparishcouncil.org.uk/,clerk@wellingtonparishcouncil.org.uk,Herefordshire,no
Woolhope Pc,https://woolhope-pc.gov.uk/,clerk@woolhope-pc.gov.uk,Herefordshire,no
Democracy Derbyshiredales,https://democracy.derbyshiredales.gov.uk/mgParishCouncilDetailsList.aspx,clerk@democracy.derbyshiredales.gov.uk,Derbyshire,no
Derbyshire,https://www.derbyshire.gov.uk/council/council-works/other-councils/town-and-parish-councils/town-and-parish-councils.aspx,clerk@derbyshire.gov.uk,Derbyshire,no
Democracy Ne Derbyshire,https://democracy.ne-derbyshire.gov.uk/mgParishCouncilDetailsList.aspx,clerk@democracy.ne-derbyshire.gov.uk,Derbyshire,no
Rowsleyparishcouncil Co Uk,http://rowsleyparishcouncil.co.uk/contact/,clerk@rowsleyparishcouncil.gov.uk,Derbyshire,no
Tibshelfparishcouncil,https://tibshelfparishcouncil.gov.uk/contact/,theclerk@tibshelfparishcouncil.gov.uk,Derbyshire,no
Democracy Derbyshire,https://democracy.derbyshire.gov.uk/mgParishCouncilDetails.aspx?bcr=1,clerk@democracy.derbyshire.gov.uk,Derbyshire,no
Highpeak Moderngov Co Uk,https://highpeak.moderngov.co.uk/mgParishCouncilDetailsList.aspx,clerk@highpeak.moderngov.co.uk,Derbyshire,no
Committees Bolsover,https://committees.bolsover.gov.uk/mgParishCouncilDetailsList.aspx,clerk@committees.bolsover.gov.uk,Derbyshire,no
Codnorparishcouncil Co Uk,https://www.codnorparishcouncil.co.uk/contact.html,clerk@codnorpc.co.uk,Derbyshire,no
Erewash Moderngov Co Uk,https://erewash.moderngov.co.uk/mgParishCouncilDetailsList.aspx,clerk@erewash.moderngov.co.uk,Derbyshire,no
Eckington Pc,https://www.eckington-pc.gov.uk/newsletter,clerk@eckington-pc.gov.uk,Derbyshire,no
Willingtonparishcouncil,https://www.willingtonparishcouncil.gov.uk/news/,clerk@willingtonparishcouncil.gov.uk,Derbyshire,no
Killamarsh Pc,https://www.killamarsh-pc.gov.uk/latest-newsletter,clerk@killamarsh-pc.gov.uk,Derbyshire,no
Southdarleyparishcouncil,https://southdarleyparishcouncil.gov.uk/news/,clerk@southdarleyparishcouncil.gov.uk,Derbyshire,no
Barlowvillage Co Uk,https://www.barlowvillage.co.uk/news.html,clerk@barlowvillage.co.uk,Derbyshire,no
Scarcliffeparishcouncil,http://www.scarcliffeparishcouncil.gov.uk/_UserFiles/Files/Newsletters/2025/Scarcliffe%20Newsletter%20Spring%2025-W.pdf,y@r.e,Derbyshire,no
Melbournevillagevoice Co Uk,https://www.melbournevillagevoice.co.uk/,ads@melbournevillagevoice.co.uk,Derbyshire,no
Holmesfieldvillage Com,https://www.holmesfieldvillage.com/,holmesfieldparishcouncil@hotmail.co.uk,Derbyshire,no
Democracy E Lindsey,https://democracy.e-lindsey.gov.uk/mgParishCouncilDetailsList.aspx,bootstrap@4.1.3,Lincolnshire,no
Northlincolnshire Moderngov Co Uk,https://northlincolnshire.moderngov.co.uk/mgParishCouncilDetailsList.aspx,clerk@northlincolnshire.moderngov.co.uk,Lincolnshire,no
Addlethorpe Parish Lincolnshire,https://addlethorpe.parish.lincolnshire.gov.uk/council-business/contact-us,clerk@addlethorpeparishcouncil.gov.uk,Lincolnshire,no
Democracy Sholland,https://democracy.sholland.gov.uk/mgParishCouncilDetailsList.aspx,jquery@3.7.1,Lincolnshire,no
Lincolnshire Moderngov Co Uk,https://lincolnshire.moderngov.co.uk/mgParishCouncilDetailsList.aspx,clerk@lincolnshire.moderngov.co.uk,Lincolnshire,no
Ruskington Parish Lincolnshire,https://ruskington.parish.lincolnshire.gov.uk/contact,clerk@ruskington-pc.gov.uk,Lincolnshire,no
Sibsey Parish Lincolnshire,https://sibsey.parish.lincolnshire.gov.uk/council-business/contact-us,sarah-clerk-spc@outlook.com,Lincolnshire,no
Braceborough Wilsthorpe Parish Lincolnshire,https://braceborough-wilsthorpe.parish.lincolnshire.gov.uk/,clerkbwpcouncil@gmail.com,Lincolnshire,no
Dunston Parish Lincolnshire,https://dunston.parish.lincolnshire.gov.uk/council-business/contact-us,dunstonparishclerk@dunston-pc.gov.uk,Lincolnshire,no
Democracy York,https://democracy.york.gov.uk/mgParishCouncilDetailsList.aspx,ycc@york.gov.uk,Yorkshire,no
Northyorks,https://www.northyorks.gov.uk/your-council/parish-and-town-councils,monitoringofficer@northyorks.gov.uk,Yorkshire,no
